question,reference_answer,generated_answer,exact_match,token_f1,bert_f1
NID আবেদন যাচাই কে করে?,বাংলাদেশে উপজেলা নির্বাচন কর্মকর্তা আবেদন যাচাই করেন এবং প্রয়োজনীয় ডকুমেন্ট যাচাই করেন।,আবেদন যাচাই সুপারিশ করার সময় অনলাইন আবেদন পোর্টালের সাথে সংযুক্ত ব্যবস্থাপনা বোর্ড সহ সরকারি সহায়ক করে।,0.0,0.14285714285714288,0.7106502652168274
জরুরি এনআইডি নবায়নের আবেদন কোথায় জমা দিতে হয়?,জরুরি নবায়নের আবেদন নির্বাচন কমিশনে জমা দিতে হয়।,জরুরি এনআইডি নবায়নের আবেদন সংশোধন বা পুনরায় জমা দিতে হয়: BDRIS পোর্টালের এনআইডি নবায়ন আবেদন সংশোধন/পুনরায় জমা অপশন ব্যবহার করে আবেদন নম্বর ও জন্ম তারিখ দিয়ে আবেদন খুঁজে সংশোধন বা পুনরায় জমা আবেদন দেখা যায়।,0.0,0.27272727272727276,0.7331799864768982
মৃত্যু সনদের জন্য কী ডকুমেন্ট লাগে?,"মৃত্যু নিবন্ধনের জন্য সাধারণত মৃত্যুর প্রমাণপত্র, হাসপাতাল বা চিকিৎসকের সনদ, দাফন বা সৎকার-সংক্রান্ত তথ্য, মৃত ব্যক্তির পরিচয়সংক্রান্ত কাগজ এবং আবেদনকারীর পরিচয় বা সম্পর্কের প্রমাণ লাগতে পারে। প্রয়োজনীয় কাগজপত্র নিবন্ধক কার্যালয় অনুযায়ী যাচাই করা হয়।","মৃত্যুর প্রমাণপত্র, হাসপাতাল বা চিকিৎসকের সনদ, হাসপাতাল বা চিকিৎসকের বা স্বাস্থ্যকর্মীর প্রত্যয়ন, এবং সম্পর্কিত অন্যান্য প্রমাণ প্রয়োজন হতে পারে।",0.0,0.40740740740740744,0.8024585247039795
সুপার এক্সপ্রেস ৬৪ পৃষ্ঠা ৫ বছর ই-পাসপোর্টে কত টাকা লাগে?,"বাংলাদেশের অভ্যন্তরে ৬৪ পৃষ্ঠা ও ৫ বছর মেয়াদের ই-পাসপোর্টের সুপার এক্সপ্রেস ডেলিভারি ফি ১৫% ভ্যাটসহ ১২,০৭৫ টাকা।",বিদেশস্থ বাংলাদেশ মিশনে সুপার এক্সপ্রেস ডেলিভারির ক্ষেত্রে ৬৪ পৃষ্ঠা ও ৫ বছর মেয়াদের ই-পাসপোর্টের সুপার এক্সপ্রেস চার্জ ১৫০ মার্কিন ডলার।,0.0,0.5,0.8554961681365967
Passport expire hole ki fine dite hoy?,"না, কোনো জরিমানা নেই। শুধু নির্ধারিত ফি দিতে হবে।","না, পাসপোর্ট মেয়াদ শেষ হলে না হলে ফি দেওয়া না হয়।",0.0,0.19999999999999998,0.7337051630020142
জন্ম নিবন্ধনে লিঙ্গ ভুল হলে কী করব?,জন্ম নিবন্ধনে লিঙ্গ ভুল হলে জন্ম নিবন্ধন তথ্য সংশোধন আবেদন করতে হয়। সঠিক তথ্যের প্রমাণপত্র এবং সংশোধনের কারণ সংযুক্ত করতে হতে পারে।,জন্ম নিবন্ধনে লিঙ্গ ভুল হলে জন্ম নিবন্ধন তথ্য সংশোধন আবেদন করতে হবে। সঠিক তথ্যের প্রমাণপত্র এবং সংশোধনের কারণ সংযুক্ত করতে হতে পারে।,0.0,0.9545454545454546,0.9887275099754333
নতুন NID নিবন্ধন কীভাবে করা হয়?,নতুন NID নিবন্ধনের জন্য নির্বাচন কমিশনের নির্দেশনা অনুযায়ী অনলাইনে আবেদন এবং বায়োমেট্রিক প্রক্রিয়া সম্পন্ন করতে হয়।,নতুন NID নিবন্ধনের জন্য প্রথমে আবেদন পূরণ করতে হয়। অনলাইনে আবেদন করার পর সংশ্লিষ্ট নিবন্ধক কার্যালয়ে গিয়ে বায়োমেট্রিক এনরোলমেন্ট করতে হয়। সফল সম্পন্ন করার পর নতুন NID কার্ড সংগ্রহ করা যায়।,0.0,0.425531914893617,0.7975921630859375
আইরিশ বা ফিঙ্গারপ্রিন্ট না থাকলে কী কাগজ লাগবে?,চেকলিস্ট অনুযায়ী চোখের আইরিশ বা ফিঙ্গারপ্রিন্ট মিসিং হলে মেডিকেল সনদ প্রয়োজন হতে পারে।,আইরিশ বা ফিঙ্গারপ্রিন্ট না থাকলে স্বাক্ষর বা স্বাক্ষরিত কপি অথবা স্বাক্ষরিত কপি এবং স্বাক্ষরিত প্রত্যয়নপত্র প্রয়োজন হতে পারে।,0.0,0.3225806451612903,0.7336662411689758
বিদেশে শ্রমিক শিক্ষার্থীর ৬৪ পৃষ্ঠা ১০ বছর এক্সপ্রেস ফি কত?,বিদেশস্থ বাংলাদেশ মিশনে শ্রমিক ও শিক্ষার্থীদের জন্য ৬৪ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের এক্সপ্রেস ডেলিভারি ফি ২২৫ মার্কিন ডলার।,বিদেশস্থ বাংলাদেশ মিশনে শ্রমিক ও শিক্ষার্থীদের জন্য ৬৪ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের এক্সপ্রেস ডেলিভারি ফি ১৭৫ মার্কিন ডলার।,0.0,0.9523809523809523,0.9978452920913696
অফিসিয়াল ওজিআর লিগ্যাল টিআইএন গাইডে কয়টি প্রধান অংশ আছে?,অফিসিয়াল ওজিআর লিগ্যাল টিআইএন গাইডে ছয়টি প্রধান অংশ আছে।,অফিসিয়াল ওজিআর লিগ্যাল টিআইএন গাইডে সাধারণত ৪৮ পৃষ্ঠা থাকে।,0.0,0.5555555555555556,0.9259636402130127
বিদেশে শ্রমিক শিক্ষার্থীর ৬৪ পৃষ্ঠা ৫ বছর রেগুলার ফি কত?,বিদেশস্থ বাংলাদেশ মিশনে শ্রমিক ও শিক্ষার্থীদের জন্য ৬৪ পৃষ্ঠা ও ৫ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৫০ মার্কিন ডলার।,বিদেশস্থ বাংলাদেশ মিশনে শ্রমিক ও শিক্ষার্থীদের ই-পাসপোর্ট ফি হলো: শ্রমিক ৬৪ পৃষ্ঠা ও ৫ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৫০ মার্কিন ডলার।,0.0,0.8695652173913043,0.9209188222885132
টোকিও দূতাবাসে NID সংশোধন করা যায় কি?,"না, দূতাবাসে শুধুমাত্র নতুন NID আবেদন গ্রহণ করা হয়, সংশোধনের আবেদন গ্রহণ করা হয় না।",হ্যাঁ। টোকিও দূতাবাসে NID সংশোধন করা যায়।,0.0,0.27272727272727276,0.7897231578826904
পুরোনো এমআরপি থাকলে ই-পাসপোর্ট করা যাবে?,এমআরপির মেয়াদ থাকলেও ই-পাসপোর্টের জন্য আবেদন করা যায়। নতুন ই-পাসপোর্ট ইস্যু হলে পূর্ববর্তী এমআরপি সিস্টেমে বাতিল হয়ে যাবে এবং সেটি আর ব্যবহার করা যাবে না।,হ্যাঁ। পুরোনো এমআরপি থাকলে ই-পাসপোর্ট করা যায়।,0.0,0.2857142857142857,0.7826233506202698
সরকারি কর্মচারীর পাসপোর্ট ফি সুবিধা কী?,এনওসি বা পিআরএল/অবসর সংক্রান্ত কাগজ থাকা সরকারি কর্মচারীরা নিয়মিত ফি দিয়ে এক্সপ্রেস সুবিধা এবং এক্সপ্রেস ফি দিয়ে সুপার এক্সপ্রেস সুবিধা পেতে পারেন।,"সরকারি কর্মচারীর পাসপোর্ট ফি সুবিধা হলো অনলাইন আবেদন করা, এনআইডি যাচাই, স্ক্যান কপি এবং সাধারণত কর পর্যন্ত সরাসরি প্রক্রিয়া।",0.0,0.1904761904761905,0.7244102954864502
ই-পাসপোর্টের টাকা কীভাবে দেব?,"অনলাইন আবেদনে ই-চালান/পেমেন্ট গেটওয়ের মাধ্যমে ফি দেওয়া যায়। এছাড়া দেশের যেকোনো শিডিউল ব্যাংকে অফলাইনে পেমেন্ট করা যায়। ফি পেমেন্টের আগে পৃষ্ঠা সংখ্যা, মেয়াদ ও ডেলিভারি ধরন ঠিকভাবে মিলিয়ে নিন।",ই-চালান ফি অনলাইনে পেমেন্ট করা যায় এবং ডেলিভারি ও সংগ্রহ অনলাইনে সম্পন্ন করা হয়।,0.0,0.34782608695652173,0.7633312940597534
বাবা-মায়ের কাগজ না থাকলে জন্ম নিবন্ধন আটকে যাবে?,পিতা-মাতার তথ্য জন্ম নিবন্ধনে গুরুত্বপূর্ণ। তবে নির্দিষ্ট ক্ষেত্রে কোন প্রমাণপত্র গ্রহণযোগ্য হবে তা বর্তমান নির্দেশনা ও নিবন্ধক কার্যালয়ের যাচাইয়ের ওপর নির্ভর করে। সর্বশেষ নিয়ম জানতে সংশ্লিষ্ট নিবন্ধক কার্যালয় বা BDRIS সহায়তা নম্বর ১৬১৫২-এ যোগাযোগ করা উচিত।,না। বাবা-মায়ের তথ্য না থাকলেও জন্ম নিবন্ধন করা যায়। তবে অন্যান্য তথ্য সংশোধনের আবেদন করতে হবে।,0.0,0.1818181818181818,0.7273151278495789
মৃত্যু সনদের কাগজপত্র কী?,"মৃত্যু নিবন্ধনের জন্য সাধারণত মৃত্যুর প্রমাণপত্র, হাসপাতাল বা চিকিৎসকের সনদ, দাফন বা সৎকার-সংক্রান্ত তথ্য, মৃত ব্যক্তির পরিচয়সংক্রান্ত কাগজ এবং আবেদনকারীর পরিচয় বা সম্পর্কের প্রমাণ লাগতে পারে। প্রয়োজনীয় কাগজপত্র নিবন্ধক কার্যালয় অনুযায়ী যাচাই করা হয়।","মৃত্যু নিবন্ধনের জন্য সাধারণত মৃত্যুর প্রমাণপত্র, হাসপাতাল বা চিকিৎসকের সনদ, পরিচয়সংক্রান্ত কাগজ এবং আবেদনকারীর পরিচয় বা সম্পর্কের প্রমাণ লাগতে পারে।",0.0,0.7272727272727273,0.8863756060600281
টিআইএন প্রক্রিয়ায় অ্যাক্টিভেশন কোডের উদ্দেশ্য কী?,অ্যাক্টিভেশন কোড দেওয়া মোবাইল নম্বর যাচাই এবং ব্যবহারকারী অ্যাকাউন্ট সক্রিয় করার জন্য ব্যবহৃত হয়।,অ্যাক্টিভেশন কোড হারানো বা ভুল হলে নতুন কোড তৈরি করার জন্য ব্যবহারকারী হিসেবে লগইন করার পর ব্যবহারকারী প্রোফাইলের সম্পর্কিত তথ্য সংশোধনের আবেদন করতে হয়।,0.0,0.3157894736842105,0.7810896039009094
এনআইডি অনলাইন অ্যাকাউন্টে লগইন করার পর কী কী তথ্য দেখা যায়?,"লগইন করার পর নিজের এনআইডির তথ্য, ছবি, ঠিকানা এবং স্মার্ট কার্ড প্রস্তুত হয়েছে কিনা তার স্ট্যাটাস দেখা যায়।","লগইন সম্পন্ন হলে আপনার এনআইডি তথ্য, জন্ম তারিখ, জন্ম স্থান, পিতা-মাতার তথ্য, ঠিকানা, যোগাযোগ নম্বর এবং ইমেইল দেখা যায়।",0.0,0.3157894736842105,0.7739510536193848
অনলাইনে হারানো এনআইডির জন্য আবেদন করতে কোন নম্বর ব্যবহার করা যায়?,অনলাইনে হারানো এনআইডির জন্য ১০ ডিজিটের NID নম্বর অথবা ১৭ ডিজিটের PIN নম্বর—যেকোনো একটি ব্যবহার করা যায়।,অনলাইন আবেদনে ১৬ অংকের এনআইডি নম্বর ব্যবহার করতে হয়।,0.0,0.15384615384615383,0.7973282933235168
স্টুডেন্ট হিসেবে মিশনে ৪৮ পৃষ্ঠা ১০ বছর এক্সপ্রেস পাসপোর্ট ফি কত?,বিদেশস্থ বাংলাদেশ মিশনে শ্রমিক ও শিক্ষার্থীদের জন্য ৪৮ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের এক্সপ্রেস ডেলিভারি ফি ৭৫ মার্কিন ডলার।,"৬,০৫০ টাকা।",0.0,0.0,0.6454784274101257
আবেদন জমার সময় কোন কাগজের ফটোকপি লাগতে পারে?,"সাধারণত প্রিন্টেড আবেদন ফরম ও সামারি স্লিপ, এনআইডি বা জন্মনিবন্ধন সনদের মূল ও ফটোকপি, পূর্ববর্তী পাসপোর্ট থাকলে সেটি ও ফটোকপি, প্রযোজ্য ক্ষেত্রে শিশুর জন্মসনদ ও পিতা-মাতার এনআইডি, এবং অফলাইন পেমেন্ট হলে পেমেন্ট স্লিপ লাগতে পারে। তথ্য পরিবর্তন হলে সহায়ক কাগজপত্রও লাগতে পারে।",আবেদন জমার সময় প্রযোজ্য কাগজপত্রের ফটোকপি হারান্ত বা ছাপা গুরুত্বপূর্ণ ছবি লাগতে পারে।,0.0,0.21428571428571427,0.7348814606666565
হারানো পাসপোর্টের জন্য জিডি লাগবে?,পাসপোর্ট হারালে বা চুরি হলে দ্রুত নিকটস্থ থানায় জিডি করতে হবে। পুনরায় পাসপোর্টের জন্য আবেদন করার সময় পুরোনো পাসপোর্টের ফটোকপি এবং জিডি কপি দাখিল করতে হবে।,হ্যাঁ। হারানো পাসপোর্ট হলে পুরোনো ও নতুন ই-পাসপোর্টের জন্য জিডি লাগবে।,0.0,0.3157894736842105,0.7862414121627808
মৃত্যু সনদে মৃত্যুর তারিখ ভুল হলে কী করব?,"মৃত্যু নিবন্ধনের তথ্য সংশোধনের জন্য BDRIS পোর্টালের মৃত্যু নিবন্ধন তথ্য সংশোধন আবেদন অপশন ব্যবহার করতে হয়। মৃত্যু নিবন্ধন নম্বর ও মৃত্যুর তারিখ দিয়ে তথ্য খুঁজে সংশোধনের বিষয়, চাহিত সংশোধিত তথ্য, সংশোধনের কারণ, প্রয়োজনীয় সংযুক্তি এবং আবেদনকারীর তথ্য দিয়ে আবেদন জমা দিতে হয়।",মৃত্যু নিবন্ধনে মৃত্যুর তারিখ ভুল হলে মৃত্যু নিবন্ধন তথ্য সংশোধন আবেদন করতে হবে। সঠিক মৃত্যুর তারিখ এবং স্বাক্ষরিত প্রমাণপত্র জমা দিতে হবে।,0.0,0.37499999999999994,0.7857607007026672
ই-এপোস্টিল থাকলে কি পুনরায় নোটারি করতে হয়?,"না, ই-এপোস্টিল স্বীকৃত হলে পুনরায় সত্যায়ন বা নোটারি করার প্রয়োজন নেই।",ই-এপোস্টিল থাকলে পুনরায় নোটারি করতে হয় না।,0.0,0.5,0.8781195282936096
নতুন ই-পাসপোর্ট করতে কীভাবে শুরু করব?,"ই-পাসপোর্টের সাধারণ প্রক্রিয়া হলো: প্রথমে আপনার অঞ্চলে ই-পাসপোর্ট চালু আছে কি না যাচাই করা, অনলাইনে আবেদন পূরণ করা, নির্ধারিত ফি পরিশোধ করা, পাসপোর্ট অফিসে বায়োমেট্রিক এনরোলমেন্ট করা এবং শেষে পাসপোর্ট সংগ্রহ করা।",প্রথমে আপনার অঞ্চলে ই-পাসপোর্ট সেবা করা হয় তার জন্য ওজিআর পোর্টালে গিয়ে এনরোলমেন্ট করতে হয়। এরপর পাসপোর্ট অফিসে আবেদন প্রক্রিয়া শুরু করা যায়।,0.0,0.41379310344827586,0.7886435985565186
NID আবেদনে বয়স প্রমাণ কীভাবে দিতে হয়?,"এসএসসি, জেএসসি বা পিএসসি শিক্ষা সনদ বয়স প্রমাণ হিসেবে ব্যবহার করা যায়।","বয়স প্রমাণ হিসেবে জন্ম নিবন্ধন সনদ, স্কুল বা কলিশ সনদ, পাসপোর্ট বা প্রশাসনিক প্রমাণ জমা দিতে হয়।",0.0,0.3448275862068966,0.7352571487426758
লন্ডন NID আবেদনে শিক্ষাগত যোগ্যতা লাগে কি?,"হ্যাঁ, SSC বা সমমানের শিক্ষা সনদ যাচাইয়ের জন্য প্রয়োজন হতে পারে।",হ্যাঁ। শিক্ষাগত যোগ্যতা প্রয়োজন হলে সাধারণত স্কুল থেকে পাসপোর্ট বা অন্য সম্পর্কিত সনদ প্রয়োজন হতে পারে।,0.0,0.4444444444444444,0.79256671667099
"ডেলিভারি স্লিপ নাই, কী নিয়ে অফিসে যাব?","ডেলিভারি স্লিপ হারালে প্রিন্ট সামারি বা অ্যাপয়েন্টমেন্ট কপি, এনআইডির কপি এবং সম্ভব হলে ডেলিভারি স্লিপের ফটোকপি নিয়ে পাসপোর্ট অফিসে যোগাযোগ করুন।",অফিসে গিয়ে ডেলিভারি স্লিপের কপি বা অনলাইন আবেদনের প্রমাণপত্র প্রয়োজন হলেও সম্ভব নয়। আবেদন তারাখ ও আবেদনপত্র নম্বর দিয়ে যোগাযোগ করতে হবে।,0.0,0.3255813953488372,0.7557656764984131
দেশের ভিতরে ৪৮ পৃষ্ঠা ১০ বছর পাসপোর্টের রেগুলার চার্জ কত?,"বাংলাদেশের অভ্যন্তরে ৪৮ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৫% ভ্যাটসহ ৫,৭৫০ টাকা।","৪৮ পৃষ্ঠা ও ১০ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৫% ভ্যাটসহ ৮,২৫০ টাকা।",0.0,0.823529411764706,0.9442877769470215
জন্ম নিবন্ধন করা কি বাধ্যতামূলক?,"আইন অনুযায়ী জাতি, ধর্ম, বর্ণ, গোষ্ঠী বা লিঙ্গ নির্বিশেষে সকল ব্যক্তির জন্ম ও মৃত্যু নিবন্ধন করতে হয়। জন্ম বা মৃত্যু নিবন্ধন নাগরিক পরিচয়, সরকারি সেবা, উত্তরাধিকার, শিক্ষা, পাসপোর্ট এবং প্রশাসনিক কাজে গুরুত্বপূর্ণ।","হ্যাঁ। জন্ম নিবন্ধন নাগরিক পরিচয়, সরকারি সেবা, শিক্ষা, পাসপোর্ট, পাসপোর্ট আবেদন, উত্তরাধিকার, সরকারি রেকর্ড ও অন্যান্য কাজে গুরুত্বপূর্ণ।",0.0,0.4800000000000001,0.7961472868919373
৬৪ পৃষ্ঠা ৫ বছর এক্সপ্রেস ডেলিভারির ফি জানতে চাই।,"বাংলাদেশের অভ্যন্তরে ৬৪ পৃষ্ঠা ও ৫ বছর মেয়াদের ই-পাসপোর্টের এক্সপ্রেস ডেলিভারি ফি ১৫% ভ্যাটসহ ৮,৬২৫ টাকা।","ফি ১৫% ভ্যাটসহ ৮,২৫০ টাকা।",0.0,0.4166666666666667,0.8077348470687866
NID হেল্পলাইন নম্বর কী?,NID হেল্পলাইন নম্বর হলো ১০৫ এবং +৮৮ ০১৭০৮-৫০১২৬১।,"হ্যাঁ, NID হেল্পলাইন নম্বর ১৬১৫২।",0.0,0.42857142857142855,0.8164054155349731
জন্ম নিবন্ধন কপি নষ্ট হলে কী করব?,জন্ম নিবন্ধন সনদ হারিয়ে গেলে বা নষ্ট হলে BDRIS পোর্টালের জন্ম নিবন্ধন সনদ পুনঃমুদ্রণ অপশন ব্যবহার করা যায়। প্রয়োজনীয় তথ্য দিয়ে আবেদন করে নিবন্ধক কার্যালয়ের মাধ্যমে সনদের কপি সংগ্রহ করতে হয়।,"জন্ম নিবন্ধন সনদ নষ্ট হলে সংশ্লিষ্ট ইউনিয়ন পরিষদ, পৌরসভা, সিটি কর্পোরেশন বা ক্যান্টনমেন্ট বোর্ডে যোগাযোগ করতে হবে। তারা সনদের কপি অনলাইন অথবা অফিসে সংগ্রহ করার প্রক্রিয়া ও নতুন সনদের প্রস্তুত করার প্রক্রিয়া বলতে পারেন।",0.0,0.3076923076923077,0.7460289597511292
পাসপোর্ট সংগ্রহে কী কাগজ লাগবে?,পাসপোর্ট সংগ্রহের সময় ডেলিভারি স্লিপ লাগবে। শিশুর পাসপোর্ট হলে পিতা-মাতার এনআইডি বা পাসপোর্ট লাগতে পারে। অন্য কেউ সংগ্রহ করলে স্বাক্ষরিত অথরাইজেশন লেটার ও ওই ব্যক্তির এনআইডি লাগবে। রি-ইস্যুর ক্ষেত্রে পূর্ববর্তী পাসপোর্টও দেখাতে হবে।,পাসপোর্ট সংগ্রহে অনলাইন আবেদন শেষে প্রিন্ট করে সংযুক্ত করে প্রয়োজন হতে পারে। নির্ধারিত কাগজপত্র ওয়েবসাইটে দেখানো থাকে।,0.0,0.07692307692307693,0.7098544239997864
জন্ম নিবন্ধনে কোন কোন তথ্য সংশোধন করা যায়?,"জন্ম নিবন্ধনে জন্ম তারিখ, লিঙ্গ, জন্মস্থানের ঠিকানা, স্থায়ী ঠিকানা, বর্তমান ঠিকানা, পিতা-মাতার বাংলা ও ইংরেজি নাম, নিজের বাংলা ও ইংরেজি নাম, জাতীয়তা, এনআইডি, পাসপোর্ট নম্বর এবং পিতা-মাতার জাতীয়তার মতো তথ্য সংশোধনের আবেদন করা যায়।","জন্ম নিবন্ধনে জন্ম তারিখ, লিঙ্গ, জন্মস্থানের ঠিকানা, স্থায়ী ঠিকানা, বর্তমান ঠিকানা, পিতা-মাতার বাংলা ও ইংরেজি নাম, নিজের বাংলা ও ইংরেজি নাম, জাতীয়প্রতিনিধি, ছবি, এবং অন্যান্য প্রয়োজনীয় তথ্য সংশোধনের আবেদন করা যায়।",0.0,0.823529411764706,0.922711193561554
এনআইডি তথ্য যাচাইয়ের জন্য VPN বা Proxy ব্যবহার করা কি উচিত?,না। অনলাইনে এনআইডি তথ্য যাচাইয়ের সময় VPN বা Proxy ব্যবহার না করাই উত্তম।,না। এনআইডি তথ্য যাচাইয়ের জন্য বাংলাদেশের অভ্যন্তরে সাধারণত ই-পাসপোর্ট পোর্টালের এনআইডি যাচাই পেইজে ব্যবহার করতে হয়। এছাড়া ব্যবহার করলে তথ্য সংশোধনের সময় প্রক্রিয়া বাতিল হতে পারে।,0.0,0.3,0.7556427121162415
মৃত্যু সনদের আবেদনপত্র আবার প্রিন্ট করা যাবে?,BDRIS পোর্টালের মৃত্যু নিবন্ধন আবেদন প্রিন্ট অপশন থেকে প্রয়োজনীয় তথ্য দিয়ে মৃত্যু নিবন্ধনের আবেদনপত্র প্রিন্ট করা যায়।,"না, মৃত্যু নিবন্ধনের আবেদনপত্র প্রিন্ট করা যায় না। আবেদন অনলাইনে পূরণ করে বা সংশ্লিষ্ট নিবন্ধক কার্যালয়ে জমা দিতে হবে।",0.0,0.33333333333333337,0.7833395600318909
বাংলাদেশ মিশনে ৬৪ পৃষ্ঠা ৫ বছর রেগুলার ফি কত?,বিদেশস্থ বাংলাদেশ মিশনে সাধারণ আবেদনকারীর জন্য ৬৪ পৃষ্ঠা ও ৫ বছর মেয়াদের ই-পাসপোর্টের রেগুলার ডেলিভারি ফি ১৫০ মার্কিন ডলার।,"১৫% ভ্যাটসহ ৮,২৫০ টাকা।",0.0,0.0,0.7090920805931091
"অফিসিয়াল গাইড অনুযায়ী টিআইএন কি স্থায়ী, নাকি নবায়ন দরকার?",অফিসিয়াল গাইড অনুযায়ী টিআইএন স্থায়ী এবং নিয়মিত নবায়ন দরকার হয় না।,হ্যাঁ। টিআইএন স্থায়ী এবং নবায়ন দরকার নয়।,0.0,0.5555555555555556,0.842171847820282
